iden;cilindrada;potencia;combustible;revoluciones;cilindros;longitud;ancho;altura;maletero;peso;plazas;velocidad;poca_aceleracion;traccion;consumo;coste/Km;precio;marca
'FORD-Fiesta XR2i 1.6';1596;110;Gasolina;6000;4;380;163;133;250;900;5;192;9.8;Delantera;10.8;14.3;1697;FORD
'FORD-Orion 1.6';1596;90;Gasolina;5800;4;423;169;136;490;995;5;177;12.1;Delantera;7.8;12.7;1671;FORD
'FORD-Orion 1.8 D';1753;60;Diesel;4800;4;423;169;136;490;1060;5;152;18.9;Delantera;6.7;8.4;1671;FORD
'FORD-Orion CLX 1.6 CAT';1596;105;Gasolina;6000;4;423;169;136;490;1010;5;186;11;Delantera;8;13;1866;FORD
'FORD-Orion Ghia 1.6i';1596;108;Gasolina;6000;4;423;169;136;490;1010;5;186;11.1;Delantera;7.9;12.7;1936;FORD
'FORD-Scorpio Cosworth 24v 4p';2935;195;Gasolina;5700;6;474;176;139;490;1385;5;225;8.8;Trasera;12.6;19.1;5512;FORD
'FORD-Scorpio GL 2.0i';1998;125;Gasolina;5500;4;474;176;139;490;1245;5;195;10.8;Trasera;9.8;15.4;3046;FORD
'FORD-Scorpio GL 2.5 TD';2498;92;Diesel;4150;4;474;176;139;490;1355;5;173;14.2;Trasera;8.1;10.3;3240;FORD
'FORD-Scorpio GL 2.9i CAT 4p';2935;145;Gasolina;5500;6;474;176;139;490;1245;5;204;9.2;Trasera;12.6;17.9;3443;FORD
'FORD-Scorpio Ghia 2.0i';1998;125;Gasolina;5500;4;474;176;139;490;1245;5;195;10.8;Trasera;9.8;15.4;3443;FORD
'FORD-Scorpio Ghia 2.9i 4x4 CAT';2935;145;Gasolina;5500;6;474;176;144;490;1375;5;201;9.7;4x4;12.6;18.2;4595;FORD
'FORD-Scorpio Ghia 2.9i CAT';2935;145;Gasolina;5500;6;474;176;139;490;1315;5;204;9.2;Trasera;12.6;17.9;3840;FORD
'FORD-Sierra CL 1.8 TD';1753;75;Diesel;4500;4;446;170;141;413;1180;5;160;16.4;Trasera;6.5;9.2;2190;FORD
'FORD-Sierra CL 2.0';1998;110;Gasolina;5600;4;446;170;141;413;1150;5;178;11.3;Trasera;8;13.4;1993;FORD
'FORD-Sierra Cosworth 4x4';1993;220;Gasolina;6250;4;442;169;141;413;1350;5;240;6.9;4x4;12.7;19.4;4355;FORD
'FORD-Sierra GL 2.0i Familiar';1998;125;Gasolina;5500;4;451;172;143;428;1190;7;195;9.7;Trasera;8;13.4;2362;FORD
'FORD-Sierra GLS 2.0i';1998;125;Gasolina;5500;4;446;170;141;413;1160;5;195;10.1;Trasera;7.9;13.2;2332;FORD
'FORD-Sierra XR 4x4 2.0i 5p';1998;125;Gasolina;5500;4;442;170;141;385;1245;5;191;10;4x4;8.5;14.6;3082;FORD
'FORD-Sierra XR4i 2.0';1998;125;Gasolina;5500;4;442;170;141;385;1145;5;195;10.1;Trasera;7.9;13.6;2332;FORD
'FSO-Polonez';1481;82;Gasolina;5200;4;427;165;142;410;1125;5;150;16;Trasera;9;14.5;1075;FSO
'HONDA-Accord 2.0i 16v';1997;135;Gasolina;5400;4;468;169;139;470;1245;5;202;9.2;Delantera;9.1;14.4;3578;HONDA
'HONDA-Civic 1.6i 16v';1590;130;Gasolina;6800;4;396;168;133;250;980;5;195;7.5;Delantera;8.1;13.5;2628;HONDA
'HONDA-Civic CRX 1.6i 16v';1590;130;Gasolina;6800;4;375;167;127;196;925;2;205;7.5;Delantera;7.2;12.7;2958;HONDA
'HONDA-Concerto SX 1.6i 16v';1590;130;Gasolina;6800;4;426;169;139;363;1100;5;195;7.5;Delantera;8.4;16.5;2761;HONDA
