iden;cilindrada;potencia;combustible;revoluciones;cilindros;longitud;ancho;altura;maletero;peso;plazas;velocidad;poca_aceleracion;traccion;consumo;coste/Km;precio;marca
'NISSAN-Primera 2.0i SLX';1998;121;Gasolina;6000;4;440;170;140;470;1160;5;200;9.9;Delantera;8.5;14.1;2320;NISSAN
'NISSAN-Sunny GTI';1998;143;Gasolina;6400;4;414;169;139;431;1140;5;210;8.2;Delantera;8.7;14.5;2810;NISSAN
'NISSAN-Sunny SLX 1.6';1597;95;Gasolina;6000;4;414;167;139;431;1020;5;180;10.4;Delantera;8;13.7;2070;NISSAN
'OPEL-Calibra 2.0i';1998;115;Gasolina;5200;4;449;169;132;420;1170;5;205;10;Delantera;8.2;15.4;2973;OPEL
'OPEL-Calibra 2.0i 16v';1998;150;Gasolina;6000;4;449;169;132;420;1195;5;223;8.5;Delantera;8.9;16;3530;OPEL
'OPEL-Calibra 2.0i 16v 4x4';1998;150;Gasolina;6000;4;449;169;132;420;1280;5;215;9.5;4x4;9.2;16.3;3993;OPEL
'OPEL-Corsa 1.0';993;45;Gasolina;5400;4;365;153;136;225;760;5;143;19.5;Delantera;7.6;11.8;1066;OPEL
'OPEL-Corsa GL 1.2';1196;52;Gasolina;5800;4;365;153;136;225;760;5;150;16.5;Delantera;7.9;12.2;1348;OPEL
'OPEL-Corsa GL 1.4';1389;75;Gasolina;5600;4;365;153;136;225;760;5;168;12;Delantera;7.9;12.2;1402;OPEL
'OPEL-Corsa GSI 1.6';1598;100;Gasolina;5600;4;365;153;136;225;865;5;188;9.5;Delantera;8;12.6;1683;OPEL
'OPEL-Corsa Swing 1.5 D';1488;50;Diesel;4800;4;365;153;136;225;835;5;151;17.5;Delantera;5.1;7.2;1345;OPEL
'OPEL-Corsa Swing 1.5 TD';1488;67;Diesel;4600;4;365;153;136;225;850;5;166;13;Delantera;5.2;7;1464;OPEL
'OPEL-Kadett 1.4';1389;75;Gasolina;5600;4;400;166;140;390;875;5;170;13;Delantera;7.9;12.3;1559;OPEL
'OPEL-Kadett 1.6';1598;82;Gasolina;5400;4;400;166;140;390;905;5;175;12;Delantera;8.2;12.8;1638;OPEL
'OPEL-Kadett 1.7 D';1700;57;Diesel;4600;4;400;166;140;390;950;5;153;18;Delantera;5.9;8;1698;OPEL
'OPEL-Kadett 1.8i';1796;112;Gasolina;5600;4;400;166;140;390;957;5;195;9.3;Delantera;8.6;13.9;1900;OPEL
'OPEL-Kadett Cabrio 1.6 EL II';1598;82;Gasolina;5400;4;400;166;138;290;975;5;172;13;Delantera;8.2;12.8;2308;OPEL
'OPEL-Kadett Cabrio GSI EL II';1998;115;Gasolina;5400;4;400;166;138;290;1030;5;195;10;Delantera;9.1;14.4;2615;OPEL
'OPEL-Kadett GSI 16v 2.0i';1998;150;Gasolina;6000;4;400;166;140;390;965;5;217;8;Delantera;9.5;15.2;2505;OPEL
'OPEL-Kadett GSI 2.0i';1998;130;Gasolina;5600;4;400;166;140;390;985;5;206;8.5;Delantera;9.1;14.1;2215;OPEL
'OPEL-Omega 2.0i';1998;122;Gasolina;5400;4;469;177;144;520;1278;5;200;10;Trasera;9.2;15;2905;OPEL
'OPEL-Omega 2.3 TD';2260;100;Diesel;4200;4;469;177;144;520;1335;5;180;14;Trasera;9.6;11.5;3221;OPEL
'OPEL-Omega 3000 3.Oi 24v';2969;204;Gasolina;6000;6;468;177;144;520;1430;5;240;7.6;Trasera;11.7;18.3;4889;OPEL
'OPEL-Omega CD 2.6i';2594;150;Gasolina;5600;6;469;177;144;520;1520;5;215;10.6;Trasera;11.1;16.6;3610;OPEL
'OPEL-Omega Caravan 2.0i';1998;122;Gasolina;5400;4;473;177;148;540;1275;7;190;11;Trasera;9.2;14.7;3000;OPEL
'OPEL-Omega Caravan 2.3 TD';2260;100;Diesel;4200;4;473;177;148;540;1375;7;176;15;Trasera;9.6;11.5;3316;OPEL
'OPEL-Omega Caravan 3.0i';2969;177;Gasolina;5800;6;473;177;148;540;1464;7;218;8.7;Trasera;10.2;15.9;3949;OPEL
'OPEL-Senator  3.0i';2969;177;Gasolina;5600;6;484;176;145;530;1475;5;225;9;Trasera;11.8;18.6;4462;OPEL
'OPEL-Senator CD 3.0i 24v';2969;204;Gasolina;6000;6;484;176;145;530;1519;5;240;7.9;Trasera;11.7;18.3;5432;OPEL
'OPEL-Vectra 2000 2.0i 16v';1998;150;Gasolina;6000;4;443;170;140;530;1184;5;217;8.5;Delantera;10;15.7;3429;OPEL
'OPEL-Vectra 2000 4x4 2.0i 16v';1998;150;Gasolina;6000;4;435;169;140;365;1265;5;208;10.4;4x4;10;15.7;3891;OPEL
'OPEL-Vectra 4x4 2.0i';1998;129;Gasolina;5600;4;435;169;140;365;1210;5;197;10.5;4x4;8.5;14.3;3133;OPEL
'OPEL-Vectra CD 2.0i';1998;115;Gasolina;5200;4;435;170;140;460;1137;5;196;10.5;Delantera;8.5;14.1;2777;OPEL
'OPEL-Vectra GL 1.6';1598;82;Gasolina;5400;4;435;170;140;460;1005;5;178;13.5;Delantera;7.8;12.7;2063;OPEL
'OPEL-Vectra GL 1.7 D';1700;57;Diesel;4600;4;435;170;140;460;1070;5;152;20;Delantera;6;8.7;2212;OPEL
'OPEL-Vectra GL 2.0i';1998;115;Gasolina;5200;4;435;170;140;460;1005;5;198;10.5;Delantera;8.5;14.1;2286;OPEL
'OPEL-Vectra GT 2.0i';1998;129;Gasolina;5600;4;435;170;140;460;1125;5;206;9.5;Delantera;8.5;14.3;2675;OPEL
'PANTHER-Kallista 2.9i';2933;150;Gasolina;5500;6;389;169;127;0;1040;2;195;7.2;Trasera;10;14;5060;PANTHER
'PEUGEOT-205 1.100';1124;55;Gasolina;5800;4;370;157;137;290;765;5;157;14.6;Delantera;7;11.8;1080;PEUGEOT
'PEUGEOT-205 1.7 Diesel';1769;60;Diesel;4600;4;370;157;135;290;880;5;155;15.1;Delantera;6.6;8.7;1445;PEUGEOT
'PEUGEOT-205 CJ Cabrio';1360;70;Gasolina;5600;4;370;157;138;215;850;5;162;12.3;Delantera;7.8;12.5;2073;PEUGEOT
'PEUGEOT-205 CTI Cabrio';1580;115;Gasolina;6250;4;370;157;138;215;935;5;190;9.7;Delantera;8;13.4;2794;PEUGEOT
'PEUGEOT-205 GR';1204;63;Gasolina;6000;4;370;157;137;290;790;5;159;14.5;Delantera;8.2;12.4;1330;PEUGEOT
'PEUGEOT-205 GT';1360;85;Gasolina;6400;4;370;157;137;290;820;5;178;10.9;Delantera;8.9;14.2;1559;PEUGEOT
'PEUGEOT-205 GTI';1905;130;Gasolina;6000;4;370;157;135;290;870;5;206;7.8;Delantera;9;14.3;1968;PEUGEOT
'PEUGEOT-205 GTX';1592;94;Gasolina;5700;4;370;157;137;290;850;5;181;10.6;Delantera;9.3;13.7;1635;PEUGEOT
'PEUGEOT-205 Rallye';1294;103;Gasolina;6800;4;370;157;137;290;790;5;190;9.6;Delantera;8.5;13.3;1517;PEUGEOT
'PEUGEOT-205 Turbo Diesel';1769;78;Diesel;4300;4;370;156;137;290;925;5;175;12.4;Delantera;6;8.3;1799;PEUGEOT
'PEUGEOT-205 Winner Diesel';1769;60;Diesel;4600;4;370;157;137;290;880;5;155;15.1;Delantera;6.6;8.7;1381;PEUGEOT
'PEUGEOT-205 XS';1294;65;Gasolina;5500;4;370;157;137;290;790;5;161;13.8;Delantera;8.2;12.4;1271;PEUGEOT
'PEUGEOT-309 Aut.';1580;80;Gasolina;5600;4;405;162;138;397;910;5;165;17.1;Delantera;9.1;14.6;2002;PEUGEOT
'PEUGEOT-309 GL';1294;65;Gasolina;5600;4;405;162;138;397;870;5;165;13.6;Delantera;8.2;12.2;1524;PEUGEOT
'PEUGEOT-309 GLD';1905;65;Diesel;4600;4;405;162;138;397;950;5;160;16.8;Delantera;6.4;8.7;1688;PEUGEOT
'PEUGEOT-309 GR';1442;83;Gasolina;5600;4;405;162;138;397;890;5;170;12.3;Delantera;8.3;12.4;1634;PEUGEOT
'PEUGEOT-309 GT';1905;105;Gasolina;5600;4;405;162;138;397;930;5;190;10.4;Delantera;8.3;12.9;2005;PEUGEOT
'PEUGEOT-309 GTI';1905;130;Gasolina;6000;4;405;162;138;397;930;5;206;8;Delantera;9.1;14.1;2238;PEUGEOT
'PEUGEOT-309 GTI 16v 3p';1905;160;Gasolina;6500;4;405;162;138;397;975;5;220;7.8;Delantera;9.8;15.5;2462;PEUGEOT
'PEUGEOT-309 SR';1592;94;Gasolina;5700;4;405;162;138;397;890;5;180;10.5;Delantera;8.8;13.3;1856;PEUGEOT
'PEUGEOT-309 SRD Turbo';1769;78;Diesel;4300;4;405;162;138;397;975;5;175;13;Delantera;6.4;9.6;2200;PEUGEOT
'PEUGEOT-405 GL';1580;92;Gasolina;6000;4;441;171;141;470;1020;5;177;11.6;Delantera;9;14.3;1943;PEUGEOT
'PEUGEOT-405 GLD';1905;70;Diesel;4600;4;441;171;141;470;1080;5;165;16.4;Delantera;5.8;8.5;2268;PEUGEOT
'PEUGEOT-405 GR';1905;110;Gasolina;6000;4;441;171;141;470;1020;5;190;10.2;Delantera;8.9;14.2;2277;PEUGEOT
'PEUGEOT-405 GR Break';1905;110;Gasolina;6000;4;441;171;141;600;1120;7;180;10.7;Delantera;8.9;14.2;2365;PEUGEOT
'PEUGEOT-405 GRDT';1769;90;Diesel;4300;4;441;171;141;470;1080;5;180;12.2;Delantera;6.2;9.8;2572;PEUGEOT
'PEUGEOT-405 GRDT Break';1769;90;Diesel;4300;4;441;171;141;600;1120;7;175;12.2;Delantera;6.2;9.8;2661;PEUGEOT
'PEUGEOT-405 GRx4';1905;110;Gasolina;6000;4;441;171;141;470;1100;5;187;10.2;4x4;8.9;14.2;2909;PEUGEOT
'PEUGEOT-405 GTX';1905;125;Gasolina;5500;4;441;171;141;470;1040;5;200;9.7;Delantera;10.2;15.4;2836;PEUGEOT
'PEUGEOT-405 Mi-16';1905;160;Gasolina;6500;4;441;171;141;470;1140;5;220;8.6;Delantera;9.8;15.5;3455;PEUGEOT
'PEUGEOT-405 Mi16x4';1905;160;Gasolina;6500;4;441;171;141;470;1140;5;220;8.6;4x4;9;14.8;3955;PEUGEOT
'PEUGEOT-605 SRDT';2088;110;Diesel;4300;4;472;179;142;497;1430;5;192;11.6;Delantera;7.9;10.3;3708;PEUGEOT
'PEUGEOT-605 SRI';1998;130;Gasolina;5600;4;472;179;142;497;1325;5;203;10.3;Delantera;8.6;13.6;3193;PEUGEOT
'PEUGEOT-605 SV 24v';2975;200;Gasolina;6000;6;472;179;142;497;1460;5;235;8;Delantera;11;17.9;5678;PEUGEOT
'PEUGEOT-605 SV 3.0';2975;170;Gasolina;5600;6;472;179;142;497;1415;5;222;8.9;Delantera;10.8;16.4;4738;PEUGEOT
'PORSCHE-911 Carrera';3600;250;Gasolina;6100;6;425;165;132;90;1350;2;260;5.7;Trasera;11.3;18.1;11178;PORSCHE
'PORSCHE-911 Carrera 4x4';3600;250;Gasolina;6100;6;425;165;132;90;1450;2;260;5.7;4x4;11.3;18.2;13120;PORSCHE
'PORSCHE-928';4957;330;Gasolina;6200;8;452;183;128;200;1580;2;275;5.8;Trasera;15.7;22;14370;PORSCHE
'PORSCHE-944';2990;211;Gasolina;5800;4;423;173;127;250;1340;2;240;7.1;Trasera;12.4;18.9;7999;PORSCHE
'RENAULT-Alpine V6 Turbo';2458;200;Gasolina;5750;6;433;175;119;90;1210;2;250;7;Trasera;11.9;18.7;7900;RENAULT
'RENAULT-Clio 1.1';1108;49;Gasolina;5250;4;371;162;139;265;820;5;145;15;Delantera;6.1;10;1115;RENAULT
'RENAULT-Clio 1.2';1171;60;Gasolina;6000;4;371;162;139;265;835;5;155;15;Delantera;6.3;10.4;1195;RENAULT
'RENAULT-Clio 1.4';1390;80;Gasolina;5750;4;371;163;139;265;850;5;175;11.2;Delantera;8.7;13.5;1375;RENAULT
'RENAULT-Clio 1.7';1721;92;Gasolina;5750;4;371;163;139;265;915;5;185;9.9;Delantera;8.7;13.5;1560;RENAULT
'RENAULT-Clio 1.9 D';1870;65;Diesel;4500;4;371;163;139;265;905;5;161;14.8;Delantera;5.9;8.4;1335;RENAULT
'RENAULT-Clio 16v';1764;140;Gasolina;6500;4;371;163;139;265;975;5;212;7.7;Delantera;8.6;14.7;1742;RENAULT
'RENAULT-R-19 16v';1764;140;Gasolina;6500;4;416;169;141;386;1050;5;215;7.9;Delantera;8.6;14.7;2390;RENAULT
'RENAULT-R-19 Chamade 16v';1764;140;Gasolina;6500;4;426;169;141;463;1075;5;215;7.9;Delantera;8.6;14.7;2390;RENAULT
'RENAULT-R-19 Chamade GTD';1870;65;Diesel;4500;4;426;169;141;463;1005;5;161;15.7;Delantera;7.2;9.3;1725;RENAULT
'RENAULT-R-19 Chamade GTS';1390;80;Gasolina;5750;4;426;169;141;463;940;5;173;12.2;Delantera;7.6;12.7;1640;RENAULT
'RENAULT-R-19 Chamade TXE';1721;95;Gasolina;5250;4;426;169;141;463;990;5;185;10.7;Delantera;8.3;13.5;2068;RENAULT
'RENAULT-R-19 Chamade TXI';1721;107;Gasolina;5500;4;426;169;141;463;1015;5;190;9.8;Delantera;8.3;13.5;1970;RENAULT
'RENAULT-R-19 GTD';1870;65;Diesel;4500;4;416;169;141;386;1005;5;161;15.7;Delantera;7.2;9.3;1725;RENAULT
'RENAULT-R-19 GTS';1390;80;Gasolina;5750;4;416;169;141;386;940;5;173;12.2;Delantera;6.9;11.9;1640;RENAULT
'RENAULT-R-19 TXE';1721;92;Gasolina;5250;4;415;169;142;386;990;5;185;10.7;Delantera;8.3;13.5;2068;RENAULT
'RENAULT-R-19 TXI';1721;107;Gasolina;5500;4;416;169;141;386;1015;5;190;9.8;Delantera;8.8;13.3;1970;RENAULT
'RENAULT-R-21 GTD';2068;74;Diesel;4500;4;446;173;139;420;1125;5;170;12.5;Delantera;6.8;9.2;2325;RENAULT
'RENAULT-R-21 GTS';1721;92;Gasolina;5750;4;446;173;139;420;1025;5;185;10.7;Delantera;8.6;13.2;2160;RENAULT
'RENAULT-R-21 GTX';1995;120;Gasolina;5500;4;446;173;139;420;1135;5;200;9.7;Delantera;9.2;14.4;2310;RENAULT
'RENAULT-R-21 Nevada GTD';2068;74;Diesel;4500;4;469;173;143;674;1165;7;159;12.9;Delantera;8.7;10.5;2625;RENAULT
'RENAULT-R-21 Nevada GTS';1721;92;Gasolina;5750;4;469;173;143;674;1065;7;182;11.2;Delantera;8.3;12.9;2410;RENAULT
'RENAULT-R-21 Nevada TDX';2068;88;Diesel;4250;4;469;173;143;674;1215;7;172;12.1;Delantera;8;10;3050;RENAULT
'RENAULT-R-21 Nevada TXE';1995;120;Gasolina;5500;4;469;173;143;674;1180;7;193;10.5;Delantera;9.5;15.9;2775;RENAULT
'RENAULT-R-21 TXE';2165;110;Gasolina;5000;4;446;173;139;420;1135;5;192;10.6;Delantera;9.2;14.4;2790;RENAULT
'RENAULT-R-21 TXI';1995;140;Gasolina;6000;4;446;172;139;420;1155;5;210;9.2;Delantera;9.6;15.5;2860;RENAULT
'RENAULT-R-21 Turbo';1995;175;Gasolina;5200;4;451;172;138;490;1215;5;227;7.4;Delantera;11.2;16.6;3595;RENAULT
'RENAULT-R-21 Turbo DX';2068;88;Diesel;4250;4;446;173;138;420;1175;5;177;11.8;Delantera;8.5;10.4;2800;RENAULT
'RENAULT-R-21 Turbo Quadra';1995;175;Gasolina;5200;4;451;172;142;394;1345;5;222;7.9;4x4;11.2;16.6;4375;RENAULT
'RENAULT-R-25 TX';1995;120;Gasolina;5500;4;471;181;141;442;1180;5;195;10.7;Delantera;9.2;16;3160;RENAULT
'RENAULT-R-25 TXI';1995;140;Gasolina;6000;4;471;181;141;442;1270;5;207;9.5;Delantera;9.8;16.6;3860;RENAULT
'RENAULT-R-25 Turbo Diesel';2068;85;Diesel;4250;4;471;181;141;442;1250;5;172;13.1;Delantera;7.9;11.4;3485;RENAULT
'RENAULT-R-25 V6 I';2849;153;Gasolina;5400;6;471;181;141;442;1300;5;208;9.3;Delantera;11.8;18.9;4550;RENAULT
'RENAULT-R-25 V6 Turbo Baccara';2458;205;Gasolina;5500;6;471;181;141;442;1410;5;233;7.4;Delantera;12;18.8;6700;RENAULT
'RENAULT-R-4 GTL Clan';1108;40;Gasolina;4500;4;367;148;155;295;700;5;118;18.5;Delantera;6.7;10.5;945;RENAULT
'RENAULT-R-5 Baccara';1397;60;Gasolina;5250;4;359;158;140;233;775;5;166;12.6;Delantera;7.3;11.4;1710;RENAULT
'RENAULT-R-5 Baccara GTX';1721;90;Gasolina;5500;4;359;158;140;233;825;5;184;9.9;Delantera;7.9;12.5;1710;RENAULT
'RENAULT-R-5 Five';1108;49;Gasolina;5250;4;365;158;140;233;755;5;143;16;Delantera;7.4;11.1;1020;RENAULT
'RENAULT-R-5 GT Turbo 3p';1397;120;Gasolina;5750;4;365;158;140;233;865;5;202;9.7;Delantera;8.5;13.4;1785;RENAULT
'RENAULT-R-5 GTD Saga';1595;55;Diesel;4800;4;359;158;140;233;830;5;150;17.6;Delantera;6.7;8.8;1445;RENAULT
'RENAULT-R-5 GTL Saga';1397;60;Gasolina;5250;4;359;158;140;233;775;5;158;13.3;Delantera;7.3;11.4;1360;RENAULT
'ROLLS ROYCE-Corniche Convertible';6750;226;Gasolina;4300;8;520;183;152;380;2430;5;208;9.8;Trasera;17.8;23.9;34680;ROLLS ROYCE
'ROLLS ROYCE-Silver';6750;226;Gasolina;4300;8;527;188;148;550;2350;5;204;10;Trasera;17.5;23.6;22663;ROLLS ROYCE
'ROVER-111 L';1120;60;Gasolina;6000;4;352;156;138;230;820;5;155;14.9;Delantera;5.8;10.7;1199;ROVER
'ROVER-114';1396;76;Gasolina;5700;4;352;156;138;230;835;5;165;11.6;Delantera;6.3;11.2;1309;ROVER
'ROVER-114 GTI 16v';1396;95;Gasolina;6250;4;352;156;138;230;875;5;180;10.4;Delantera;6.5;11.5;1555;ROVER
'ROVER-214 16v';1396;95;Gasolina;6250;4;422;168;140;357;1065;5;174;13.9;Delantera;7.4;12.1;1957;ROVER
'ROVER-216 GSI 16v';1590;116;Gasolina;6300;4;422;168;140;357;1080;5;195;10.8;Delantera;8.6;14.2;2199;ROVER
'ROVER-820 SI';1196;140;Gasolina;6000;4;481;173;140;445;1350;5;202;9.8;Delantera;9.3;15.4;3495;ROVER
'ROVER-825 SD TD';2499;118;Diesel;4200;4;469;173;140;445;1950;5;190;10.6;Delantera;7;9.3;4075;ROVER
'ROVER-827 Sterling';2675;177;Gasolina;6000;6;469;173;140;445;1420;5;215;8.4;Delantera;10.4;9.3;4935;ROVER
'ROVER-MG 2.0i';1994;112;Gasolina;5500;4;405;168;142;365;1020;5;185;8.5;Delantera;9.8;15;2049;ROVER
'ROVER-Montego 1.6 SL';1598;83;Gasolina;5600;4;447;171;142;521;1180;5;165;11.2;Delantera;6.9;12;1695;ROVER
'ROVER-Montego 2.0 DSL Turbo';1994;81;Diesel;5500;4;447;171;142;521;1258;5;165;13.5;Delantera;5.1;8.1;2235;ROVER
'ROVER-Montego 2.0 GSI';1994;112;Gasolina;5500;4;447;171;142;521;1163;5;182;9.3;Delantera;8.7;14;2180;ROVER
'SAAB-9000i 16v';1985;135;Gasolina;6000;4;467;176;142;625;1325;5;190;10.5;Delantera;9.6;16.4;3713;SAAB
'SAAB-9000i 2.3 16v';2290;150;Gasolina;5500;4;467;176;142;625;1355;5;205;10.5;Delantera;8.9;15.8;3823;SAAB
'SAAB-9000i 2.3 Airflow';2990;220;Gasolina;5200;4;467;176;142;625;1470;5;230;8.9;Delantera;10.7;17.4;6323;SAAB
'SAAB-9000i 2.3 Turbo';2990;200;Gasolina;5000;4;467;176;142;625;1390;5;230;8;Delantera;10.7;17.4;4963;SAAB
'SAAB-9000i Turbo';1985;175;Gasolina;5300;4;467;181;142;625;1390;5;200;8.3;Delantera;10.3;17;4766;SAAB
'SAAB-900i 16v';1985;133;Gasolina;6000;4;469;169;142;600;1290;5;180;11.5;Delantera;9.6;15.2;3066;SAAB
'SAAB-900i 16v Turbo';1985;175;Gasolina;5300;4;469;169;142;600;1315;5;210;9.6;Delantera;9.3;16.2;4333;SAAB
'SAAB-CDI';1985;135;Gasolina;6000;4;478;176;142;675;1355;5;190;10.5;Delantera;9.6;16.4;3833;SAAB
'SAAB-CDI 2.3 16v';2290;150;Gasolina;5500;4;478;176;142;675;1355;5;205;10.5;Delantera;8.9;15.8;3943;SAAB
'SAAB-CDI 2.3 Turbo';2290;200;Gasolina;5000;4;478;176;142;675;1390;5;230;8;Delantera;10.7;17.4;5083;SAAB
'SAAB-CDI 2.3 Turbo Topline';2290;200;Gasolina;5200;4;478;176;142;675;1470;5;230;8;Delantera;10.7;17.4;7013;SAAB
'SAAB-CDI Turbo';1988;175;Gasolina;5300;4;478;176;142;675;1390;5;220;8.3;Delantera;10.7;17.4;4883;SAAB
'SEAT-Ibiza 1.2';1193;63;Gasolina;5800;4;368;161;139;320;910;5;155;16;Delantera;8.4;12.3;1405;SEAT
'SEAT-Ibiza 1.5';1461;90;Gasolina;6000;4;368;161;139;320;935;5;176;12.2;Delantera;9.2;13.7;1592;SEAT
'SEAT-Ibiza 1.7 D';1714;55;Diesel;4500;4;368;161;139;320;970;5;148;20.2;Delantera;7.3;9.2;1281;SEAT
'SEAT-Ibiza SXi';1461;100;Gasolina;5900;4;368;161;139;320;935;5;184;10.8;Delantera;8.4;13.4;1758;SEAT
'SEAT-Ibiza Special 0,9';903;44;Gasolina;5800;4;368;161;139;320;860;5;129;22;Delantera;7.3;11.3;1105;SEAT
'SEAT-Marbella';903;40;Gasolina;5400;4;347;150;144;262;680;5;130;20.3;Delantera;7;10.5;1013;SEAT
'SEAT-M laga GLX 1.2';1193;63;Gasolina;5800;4;427;165;140;510;975;5;150;18;Delantera;8.4;12.4;1350;SEAT
'SEAT-M laga GLX 1.5';1461;90;Gasolina;6000;4;427;165;140;510;975;5;170;13;Delantera;8.5;13;1537;SEAT
'SEAT-M laga GLX 1.7 D';1714;55;Diesel;4500;4;427;165;140;510;1015;5;141;21.9;Delantera;7.6;9.5;1487;SEAT
'SEAT-M laga Injection';1461;100;Gasolina;5900;4;427;165;140;510;975;5;174;11;Delantera;8.4;13;1717;SEAT
'SKODA-136 Favorit';1289;63;Gasolina;5000;4;381;162;141;240;840;5;150;14;Delantera;7.6;12.3;1267;SKODA
'SKODA-136 Rapid 3p';1289;64;Gasolina;5000;4;420;161;138;400;890;4;153;14;Trasera;7.2;12;1091;SKODA
'SUZUKI-Swift 1.3 GL';1298;71;Gasolina;6000;4;371;158;137;245;720;5;165;13.2;Delantera;5.6;10.1;1346;SUZUKI
'SUZUKI-Swift GTI';1298;101;Gasolina;6600;4;371;158;135;245;790;5;180;8;Delantera;7.2;12.7;1821;SUZUKI
'SUZUKI-Swift Sedan 1.6 GLX';1590;91;Gasolina;6000;4;407;160;138;363;840;5;182;8.5;Delantera;6.9;11.5;1621;SUZUKI
'SUZUKI-Swift Sedan 4x4';1590;91;Gasolina;6000;4;407;160;138;363;910;5;178;8.6;4x4;6.9;11.5;1871;SUZUKI
'TOYOTA-Camry';1998;128;Gasolina;5600;4;452;169;137;505;1150;5;195;9.4;Delantera;7.9;13;3041;TOYOTA
'TOYOTA-Celica 2.O GTI';1998;160;Gasolina;6600;4;442;170;130;319;1225;4;220;8.4;Delantera;9.8;15.5;4142;TOYOTA
'TOYOTA-Corolla 1.6 GL';1587;95;Gasolina;6000;4;421;165;136;270;1050;5;180;10.9;Delantera;8;12.5;2114;TOYOTA
'TOYOTA-MR-2';1587;124;Gasolina;6600;4;395;166;125;70;1010;2;195;8.1;Trasera;8.3;14.2;4223;TOYOTA
'TOYOTA-Supra';2954;204;Gasolina;6000;6;462;169;130;0;1490;4;230;7.8;Trasera;11.7;18.5;6466;TOYOTA
'VOLKSWAGEN-Corrado 16v';1781;136;Gasolina;6300;4;405;167;132;370;1100;5;213;9.1;Delantera;11.8;17.2;3600;VOLKSWAGEN
'VOLKSWAGEN-Corrado G60';1781;160;Gasolina;5600;4;405;167;132;370;1115;5;225;8.3;Delantera;9.6;15.3;4119;VOLKSWAGEN
'VOLKSWAGEN-Golf 1.6';1595;75;Gasolina;5000;4;398;166;141;410;930;5;167;12.7;Delantera;7.5;11.3;1675;VOLKSWAGEN
'VOLKSWAGEN-Golf 1.8';1781;90;Gasolina;5200;4;398;166;141;410;945;5;178;10.8;Delantera;8.8;14.1;1775;VOLKSWAGEN
'VOLKSWAGEN-Golf CLD';1588;54;Diesel;4800;4;398;166;141;410;935;5;148;18.7;Delantera;6.7;8.5;1741;VOLKSWAGEN
'VOLKSWAGEN-Golf Cabrio GL';1595;75;Gasolina;5000;4;389;164;141;280;960;5;154;13.5;Delantera;8;13.2;2125;VOLKSWAGEN
'VOLKSWAGEN-Golf Cabrio Quartett';1781;112;Gasolina;5800;4;389;164;141;280;995;5;173;10.1;Delantera;8.8;14.4;2432;VOLKSWAGEN
'VOLKSWAGEN-Golf GTD';1588;80;Diesel;4500;4;398;166;141;410;985;5;169;11.7;Delantera;6.9;9.3;2295;VOLKSWAGEN
'VOLKSWAGEN-Golf GTI';1781;112;Gasolina;5600;4;404;168;141;410;975;5;191;9.9;Delantera;8.6;14.2;1978;VOLKSWAGEN
'VOLKSWAGEN-Golf GTI 16v';1781;139;Gasolina;6100;4;404;168;141;410;1010;5;208;8.5;Delantera;9.6;15.1;2474;VOLKSWAGEN
'VOLKSWAGEN-Golf GTI G60';1781;160;Gasolina;5800;4;404;168;140;410;1105;5;216;8.3;Delantera;10.2;15.8;2657;VOLKSWAGEN
'VOLKSWAGEN-Golf Sincro';1781;90;Gasolina;5200;4;398;166;141;410;945;5;171;10.8;4x4;9.2;14.4;2715;VOLKSWAGEN
'VOLKSWAGEN-Golf Sprinter TD';1588;70;Diesel;4500;4;398;166;141;410;985;5;160;14.5;Delantera;6.7;8.7;1949;VOLKSWAGEN
'VOLKSWAGEN-Golf Stream';1272;55;Gasolina;5200;4;398;166;141;345;890;5;151;15.7;Delantera;7.4;11.7;1553;VOLKSWAGEN
'VOLKSWAGEN-Jetta CL 1.3';1272;55;Gasolina;5200;4;431;167;141;660;955;5;150;15.8;Delantera;7.4;11.7;1490;VOLKSWAGEN
'VOLKSWAGEN-Jetta CL 1.6';1595;75;Gasolina;5000;4;431;167;141;660;955;5;165;13;Delantera;7.5;12.2;1598;VOLKSWAGEN
'VOLKSWAGEN-Jetta CL 1.8';1781;90;Gasolina;5200;4;431;167;141;660;970;5;176;11.4;Delantera;8.8;13.9;1766;VOLKSWAGEN
'VOLKSWAGEN-Jetta CL TD 1.6';1588;70;Diesel;4500;4;431;167;141;660;1010;5;158;15;Delantera;6.7;8.7;1921;VOLKSWAGEN
'VOLKSWAGEN-Jetta CLD 1.6';1588;54;Diesel;4800;4;431;167;141;660;980;5;146;19.3;Delantera;6.7;8.5;1689;VOLKSWAGEN
'VOLKSWAGEN-Jetta GT 1.8';1781;112;Gasolina;5500;4;431;167;141;660;1000;5;189;10;Delantera;8.6;14.2;2295;VOLKSWAGEN
'VOLKSWAGEN-Passat CL 1.8';1781;90;Gasolina;5250;4;457;170;143;578;1130;5;177;13.9;Delantera;8.7;14;2239;VOLKSWAGEN
'VOLKSWAGEN-Passat CL TD 1.6';1588;80;Diesel;4500;4;457;170;143;578;1190;5;170;16;Delantera;8.5;10.4;2572;VOLKSWAGEN
'VOLKSWAGEN-Passat GL 2.0';1984;115;Gasolina;5200;4;457;170;143;578;1155;5;195;9.9;Delantera;9.3;15;2746;VOLKSWAGEN
